category_scores/Asymmetric/score,category_scores/Covert/score,category_scores/Deceptive/score,category_scores/Hides Information/score,category_scores/Restrictive/score,overall_assessment/total_score,overall_assessment/max_possible_score,overall_assessment/summary,website,category_scores/Asymmetric/analysis,category_scores/Covert/analysis,category_scores/Deceptive/analysis,category_scores/Hides Information/analysis,category_scores/Restrictive/analysis
0,0,0,0,0,0,50,"The website could not be reached. Therefore, it is not possible to assess the presence of dark patterns or their categories based on this screenshot. The site may be temporarily down or moved permanently to a new web address.",Adidas,,,,,
,,,,,,,,Puma,,,,,
,,,,,,,,Reebok,,,,,
,,,,,,,,Under Armour,,,,,
,,,,,,,,H&M,,,,,
7,5,4,6,4,26,50,"The website employs several dark patterns, with particularly noticeable issues in Asymmetric and Hides Information categories. The presentation is biased towards encouraging sign-ups for text messages, with some information about data rates and message frequency somewhat obscured.",Uniqlo,,,,,
,,,,,,,,Zara,,,,,
,,,,,,,,Forever 21,,,,,
,,,,,,,,Urban Outfitters,,,,,
5,3,5,6,4,23,50,"The website uses some dark patterns, mostly in the Hides Information and Asymmetric categories. While the design is relatively balanced, certain deals and sale details are not completely transparent, and some crucial information is somewhat obscured.",Hollister,,,,,
,,,,,,,,Abercrombie & Fitch,,,,,
0,0,0,0,0,0,50,"The webpage provided is not accessible due to an ERR_HTTP2_PROTOCOL_ERROR, indicating it might be down or moved permanently. Since the website content cannot be displayed or evaluated, no dark patterns can be assessed from this unavailable webpage.",Lululemon,,,,,
,,,,,,,,Victoria's Secret,,,,,
,,,,,,,,Sephora,,,,,
6,4,5,7,7,29,50,"The website exhibits several dark patterns, particularly in the Asymmetric and Hides Information categories. The user experience is biased towards certain actions that benefit the website, with notable restrictions and a tendency to obscure or delay important information.",Ulta,,,,,
6,4,5,7,8,30,50,"The website employs a number of dark patterns. It is particularly notable for using an asymmetric design that highlights specific actions, covert techniques to influence choices subtly, and restrictive measures that limit user options. Information is present but often obscured or not immediately clear.",Glossier,,,,,
7,5,4,6,6,28,50,"The website employs several dark patterns, most notably in the Asymmetric and Hides Information categories. The accept all cookies button is more visually prominent, subtly encouraging users to accept all cookies. Information about optional tracking technologies is provided but placed in a way that makes it less noticeable. The user's ability to freely choose cookie settings is somewhat restricted.",Fenty Beauty,,,,,
,,,,,,,,ColourPop,,,,,
5,4,3,6,6,24,50,"The website displays some dark patterns, with the most noticeable being in the Hides Information and Restrictive categories. The options provided are somewhat biased towards continuing with the set location, and some important information or options (like changing the country or opting out of promotional emails) are less prominent.",Pat McGrath,,,,,
6,4,5,7,5,27,50,"The website displays a moderate use of dark patterns. The presentation is somewhat biased towards specific actions, and important information is occasionally obscured or delayed. While there are limitations on user choices, there are still some alternatives available.",Charlotte Tilbury,,,,,
0,0,0,0,0,0,50,The website cannot be reached due to an HTTP2 protocol error or the site being temporarily down or moved. No dark patterns can be assessed from the error page.,Too Faced,,,,,
7,6,5,7,4,29,50,"The website employs several dark patterns, with particularly high scores in Asymmetric and Hides Information categories. There is noticeable bias in presentation, important information is often obscured, and user decisions may be subtly manipulated.",Anastasia Beverly Hills,,,,,
,,,,,,,,Morphe,,,,,
,,,,,,,,The Body Shop,,,,,
5,3,2,4,6,20,50,The website employs some dark patterns. The presentation leans towards being biased with slight preference given to the 'Ship to Canada' option. Information is somewhat obscured as other location choices are available but not immediately visible. Restrictions are in place as users are nudged towards a specific country for shipping.,L'Occitane,,,,,
6,5,4,7,6,28,50,"The website exhibits several dark patterns. The presentation of choices is noticeably biased towards building a custom box, with alternative options less prominent. There are some covert techniques employed to subtly influence user decisions. While the information isn't entirely deceptive, important details about the subscription model and customization are not immediately clear, implying some information is obscured. The options available also appear somewhat restrictive, funnelling users towards a particular action.",Birchbox,,,,,
4,3,5,4,2,18,50,"The website uses mild dark patterns, with a slightly biased presentation in the Asymmetric category. Some design elements subtly influence user choices, though most information is clear and accessible. User choice is generally unrestricted.",Amazon India,,,,,
,,,,,,,,Amazon UK,,,,,
,,,,,,,,Amazon Germany,,,,,
3,2,1,1,2,9,50,"The website employs minimal dark patterns. There is slight asymmetry in the presentation of shipping options and a subtle influence on user choice, but overall, information is clear, and user options are relatively unrestricted.",Amazon Japan,,,,,
,,,,,,,,Lazada,,,,,
,,,,,,,,Shopee,,,,,
0,0,0,0,0,0,50,"The website could not be reached, and therefore no dark patterns could be detected or assessed.",Tokopedia,,,,,
6,5,7,6,3,27,50,"The website displays several dark patterns with notable emphasis on deceptive and asymmetric practices. While user choices are somewhat biased and important information is not always immediately clear, the site is moderately restrictive in its user options.",Bukalapak,,,,,
2,1,2,1,2,8,50,"The website does not heavily employ dark patterns. The verification process is straightforward, information is transparent, and user choices are not unduly restricted or biased.",Blibli,,,,,
7,6,4,7,3,27,50,"The website displays several dark patterns, with notable scores in Asymmetric and Hides Information categories. The choice to allow notifications is presented with a more prominent 'Allow' button compared to the 'Not Now' option. Some information is subtly obscured, but overall the site's dark patterns are moderate.",Snapdeal,,,,,
0,0,0,0,0,0,50,"The webpage could not be reached due to a protocol error, indicating that it might be temporarily down or may have permanently moved to a new web address. Hence, no dark patterns were detected.",Myntra,,,,,
,,,,,,,,Ajio,,,,,
,,,,,,,,ShopClues,,,,,
,,,,,,,,BigBasket,,,,,
,,,,,,,,Grofers,,,,,
,,,,,,,,Pepperfry,,,,,
,,,,,,,,Nykaa,,,,,
7,6,8,9,10,40,50,"The website exhibits significant dark patterns. The blocking message is prominently displayed without providing further information or alternatives. This obstructs user choices, manipulates their decision-making covertly, and hides vital information on the reason for being blocked, hence highly restrictive and misleading.",Tata Cliq,,,,,
6,4,3,5,2,20,50,"The website uses some dark patterns, with mild to moderate scores in Asymmetric and Hides Information categories. The presentation is slightly biased towards promoting certain products, and some information might require additional steps to access.",Lenskart,,,,,
,,,,,,,,Reliance Digital,,,,,
6,5,7,7,4,29,50,"The website displays several dark patterns, with notable scores in Asymmetric and Deceptive categories. Presentation is biased towards promoting sales, and important details such as the terms and conditions are likely obscured or not immediately visible.",Croma,,,,,
3,5,4,6,3,21,50,"The website contains a few dark patterns, but not excessively so. The presentation is mildly biased, with some alternative choices less prominent. There is slight covert influence on user decisions, and information related to terms and conditions is somewhat obscured. The website does not heavily restrict user choices.",Dunzo,,,,,
,,,,,,,,Shopclues,,,,,
0,0,0,0,0,0,50,"The webpage couldn't be reached due to an HTTP protocol error. Since the webpage is not available, no dark patterns can be analyzed.",Jabong,,,,,
6,5,7,6,4,28,50,"The website employs several dark patterns. The presentation is noticeably biased towards the offer, with the high discount aggressively promoted. Some information, such as the terms of the discount, might be obscured. While there are limitations on choices, alternatives are available but not prominently displayed.",Naaptol,,,,,
,,,,,,,,Craftsvilla,,,,,
,,,,,,,,Fynd,,,,,
6,5,4,5,4,24,50,"The website exhibits several dark patterns, particularly in the Asymmetric category. Information is sometimes hidden or requires additional steps to access, and the design subtly influences user choices.",FirstCry,,,,,
,,,,,,,,Mamas & Papas,,,,,
6,3,5,5,3,22,50,"The website features several dark patterns, but these are moderately implemented. The asymmetric display slightly favors promotional content, and some details, such as extra GST charges on discounted prices and delivery timelines, are not immediately transparent but are available upon further action.",BabyOye,,,,,
,,,,,,,,Hopscotch,,,,,
,,,,,,,,Zivame,,,,,
,,,,,,,,Clovia,,,,,
8,6,3,5,7,29,50,"The website employs various dark patterns, particularly noticeable in the Asymmetric, Covert, and Restrictive categories. The cookie consent banner is biased towards accepting all cookies, and important information about cookie usage is somewhat obscured and requires additional steps to access.",PrettyLittleThing,,,,,
8,6,5,7,4,30,50,"The website employs several dark patterns, with high scores in Asymmetric and Hides Information categories. The presentation is noticeably biased, making the 'Accept All' option more prominent than 'Let Me Choose', and some information is partially hidden or delayed in access.",Boohoo,,,,,
,,,,,,,,Shein,,,,,
,,,,,,,,ASDA,,,,,
6,5,4,6,3,24,50,"The website employs several dark patterns, with particularly noticeable scores in the Asymmetric and Hides Information categories. The presentation shows a preferential bias toward accepting all cookies, and important information, such as specifics about cookie usage, is somewhat obscured.",Marks & Spencer,,,,,
,,,,,,,,John Lewis,,,,,
,,,,,,,,Next,,,,,
,,,,,,,,Argos,,,,,
0,0,0,0,0,0,50,"The website cannot be accessed, hence no dark patterns are present in this screenshot.",Tesco,,,,,
8,2,2,9,9,30,50,The website employs dark patterns with particularly high scores in Restrictive and Hides Information categories. Access is completely restricted without providing any useful information or alternatives to the user.,Sainsbury's,,,,,
,,,,,,,,Ocado,,,,,
0,0,0,0,0,0,50,"The website is not accessible due to an ERR_HTTP2_PROTOCOL_ERROR. As a result, no dark patterns can be identified or analyzed from the provided screenshot.",Waitrose,,,,,
,,,,,,,,Morrisons,,,,,
5,4,5,6,3,23,50,"The website employs several dark patterns, though none are particularly extreme. The cookie consent dialogue shows some bias towards accepting cookies, and information about settings and declining options is less prominent. While there is some level of manipulation and hidden information, overall, the practices are moderately problematic.",Boots,,,,,
0,0,0,0,0,0,50,"The website is currently unreachable due to a protocol error. Therefore, no dark patterns could be evaluated or detected.",Superdrug,,,,,
7,6,5,6,5,29,50,"The website uses several dark patterns, with higher scores in the Asymmetric and Covert categories. The cookie consent options are designed in a way that makes accepting all cookies more prominent and appealing than the alternatives, and important information regarding cookie settings is not immediately clear.",Carrefour,,,,,
,,,,,,,,Auchan,,,,,
6,5,4,7,4,26,50,"The website exhibits moderate use of dark patterns. The presentation is somewhat biased towards signing in or joining for a better experience, important information is delayed or requires additional steps to access, and some design elements subtly influence user choices.",Lidl,,,,,
,,,,,,,,Aldi,,,,,
,,,,,,,,IKEA India,,,,,
,,,,,,,,Big W,,,,,
,,,,,,,,Target Australia,,,,,
6,5,4,7,3,25,50,"The website exhibits some dark patterns, particularly in Asymmetric presentation and Hides Information categories. The alternative choices are somewhat less intuitive, and some important details are obscured or require further steps to access.",David Jones,,,,,
,,,,,,,,Harvey Norman,,,,,
7,5,6,8,7,33,50,"The website exhibits several dark patterns, especially in the areas of Hides Information and Asymmetric presentation. The offer requires the user to spend a significant amount to receive a discount that comes with many restrictions, and crucial details are found in fine print or require additional steps to be accessed.",JB Hi-Fi,,,,,
,,,,,,,,Dick Smith,,,,,
,,,,,,,,The Iconic,,,,,
6,5,4,7,3,25,50,"The website employs various dark patterns. The presentation shows a noticeable bias, with some elements subtly influencing choices. Information is available but some crucial details are not immediately clear.",Catch,,,,,
5,3,2,4,2,16,50,"The website demonstrates some use of dark patterns, particularly in being mildly biased in presentation and somewhat hiding information. However, it is not overtly deceptive or restrictive, and user choices are relatively free.",Kmart Australia,,,,,
5,3,4,6,3,21,50,"The website shows signs of dark patterns, but to a lesser extent. There is some mild biased presentation, notably in the arrangement of product categories, and some information may not be immediately clear, particularly regarding the details on the delivery policy.",Myer,,,,,
,,,,,,,,Kogan,,,,,
,,,,,,,,eBay Australia,,,,,
,,,,,,,,Woolworths,,,,,
,,,,,,,,Chemist Warehouse,,,,,
,,,,,,,,Bunnings,,,,,
,,,,,,,,Rebel Sport,,,,,
6,5,4,7,3,25,50,"The website uses several dark patterns, notably in the 'Hides Information' and 'Asymmetric' categories. The design is somewhat biased towards certain actions and some important information tends to be delayed or less accessible. Deceptive practices present but less pronounced, and there are relatively few restrictions on choice.",Supercheap Auto,,,,,
2,1,2,2,1,8,50,"The website does not employ significant dark patterns. The verification process is straightforward and transparent, with necessary information readily available. There is minimal bias, deception, or restriction in user choices.",Bunnings,,,,,
0,0,0,0,0,0,50,"The website can't be reached, hence no dark patterns can be assessed or detected from the current page.",Big W,,,,,
2,0,0,6,10,18,50,The website essentially blocks access without providing any further information. The most prominent issues are restrictive access and the hiding of potentially important information regarding the block.,Dan Murphy's,,,,,
5,6,5,7,8,31,50,"The website exhibits several dark patterns. The choices presented are somewhat biased with an emphasis placed on the suggested CAPTCHA solution. It contains covert design elements that subtly manipulate the user's actions, such as implying bot-like behavior without substantial evidence. The information provided is minimally deceptive as it lacks clear explanation or fair closure for a user who may not understand why they're being flagged. Notably, access to the site is considerably restrictive, requiring the completion of an additional task with no clear alternative pathways.",Liquorland,,,,,
,,,,,,,,Aesop,,,,,
,,,,,,,,Mecca,,,,,
,,,,,,,,Typo,,,,,
6,5,4,7,4,26,50,"The website presents several dark patterns. The login and sign-up options are slightly more prominent, making other navigation slightly less intuitive. Information about the offer is clear but could be considered mildly restrictive and covert due to the emphasis on logging in or signing up without initially displaying full offer terms.",Cotton On,,,,,
,,,,,,,,Jay Jays,,,,,
,,,,,,,,Typo,,,,,
,,,,,,,,Supre,,,,,
7,6,5,7,4,29,50,"The website employs several dark patterns, with higher scores in Asymmetric and Hides Information categories. The presentation shows biased elements favoring promotional offers and certain products. Important information like details of offers may be obscured or require extra steps to access.",The Good Guys,,,,,
,,,,,,,,Appliances Online,,,,,
3,2,1,4,6,16,50,"The website appears relatively straightforward with an access denial page, but there are some restrictive elements that prevent users from accessing the content. There is a mild bias in the presentation of choices and some obscured information regarding why access was specifically denied, but it is not heavily deceptive.",Autobarn,,,,,
,,,,,,,,Spotlight,,,,,
,,,,,,,,Anaconda,,,,,
3,4,2,4,3,16,50,"The website has minor use of dark patterns, with the most notable in the Asymmetric and Hides Information categories. The choices presented are mildly biased and some information requires extra steps to access.",Macpac,,,,,
7,3,4,6,5,25,50,"The website employs some dark patterns, notably in the Asymmetric and Hides Information categories. The design presents options in a biased way, making the 'Accept All Cookies' button more prominent, while hiding more detailed settings behind another click.",Kathmandu,,,,,
,,,,,,,,Mountain Designs,,,,,
6,5,7,4,3,25,50,"The website employs several dark patterns, with noticeable scores in Asymmetric and Deceptive categories. The sale timer adds a sense of urgency that may influence user choice. However, information seems to be somewhat accessible, though there are mild restrictions and some elements are covertly influencing user decisions.",BCF,,,,,
,,,,,,,,Torpedo7,,,,,
5,4,6,7,3,25,50,"The website employs several mild dark patterns. While it is not excessively deceptive or restrictive, it is somewhat asymmetrical and hides some relevant information. The listings for related searches can be misleading, and important details about domain availability are not immediately clear.",Katmandu,,,,,
,,,,,,,,Bonds,,,,,
,,,,,,,,Peter Alexander,,,,,
,,,,,,,,Gorman,,,,,
0,0,0,2,2,4,50,The website is currently down and displays a message about technical difficulties. There are no significant dark patterns present; the information is straightforward and there are no manipulative design elements.,Country Road,,,,,
,,,,,,,,Mimco,,,,,
,,,,,,,,Witchery,,,,,
5,4,3,6,2,20,50,"The website displays moderate use of dark patterns, particularly in the Asymmetric and Hides Information categories. While there’s a noticeable emphasis on sales promotion, the actual details and terms might not be immediately clear to the user. The overall design subtly influences user choices but does not heavily restrict or deceive them.",Seed Heritage,,,,,
,,,,,,,,Sportscraft,,,,,
,,,,,,,,Saba,,,,,
8,5,7,6,5,31,50,The website uses several dark patterns. The 'Sale' presentation is biased towards making purchases with a prominent 'Shop Now' call to action (Asymmetric: 8). Mild design elements subtly influence user choices (Covert: 5). The '25% OFF*' might have conditions not immediately apparent (Deceptive: 7). Information about the terms of the sale is somewhat obscured (Hides Information: 6). Users face some restrictions with choices such as 'Click and Collect' being temporarily unavailable (Restrictive: 5).,Politix,,,,,
,,,,,,,,MJ Bale,,,,,
,,,,,,,,Calibre,,,,,
6,3,4,5,4,22,50,"The website employs some dark patterns with particular emphasis on asymmetric design. Users are subtly guided towards the preferred options, but other options are still accessible. Information is not fully hidden but may require additional steps for clarity.",R.M. Williams,,,,,
,,,,,,,,Hush Puppies,,,,,
6,4,3,6,4,23,50,"The website employs some dark patterns, with noticeable use of asymmetric design and hidden information. The popup prioritizes signing up for promotional emails but includes an option to close it. Deceptive and restrictive elements are less pronounced but still present.",Windsor Smith,,,,,
6,5,4,6,8,29,50,"The website has several dark patterns, especially in the Restrictive and Hides Information categories. The presentation is notably biased towards membership, and some important details may only be discovered after additional actions.",Aquila,,,,,
3,3,2,4,2,14,50,"The website employs minor dark patterns. There is a slight bias presentation in the 'Shop Now' button, and some information such as detailed product specifics might require additional steps to access.",Betts,,,,,
6,5,4,7,3,25,50,"The website shows several dark patterns, with particularly high scores in Asymmetric and Hides Information categories. The sign-up window biases the user towards signing up by offering a discount prominently. Necessary information like the minimum spend for the discount is somewhat obscured at the bottom of the sign-up box, potentially leading to user misunderstanding.",Spendless Shoes,,,,,
5,6,5,7,4,27,50,"The website shows several dark patterns, particularly in the Hides Information and Covert categories. The presentation of deals and offers is somewhat biased, with important information not immediately visible, thus making user decisions subtly guided towards certain actions.",Platypus Shoes,,,,,
8,7,5,6,9,35,50,"The website employs several dark patterns, particularly in being Restrictive and using Asymmetric designs. The user is blocked with minimal explanation and has limited options to proceed, noticeable biases in the presentation of explanations, subtly covert influences, partially misleading information, and important details are somewhat delayed.",Foot Locker,,,,,
,,,,,,,,Rebel Sport,,,,,
6,5,3,4,3,21,50,"The website displays some dark pattern techniques. The layout is somewhat asymmetric, giving notable prominence to specific actions. While it does employ subtle influencing techniques, it is not heavily deceptive. Information is generally available but sometimes requires additional navigation. The user is not excessively restricted in their choices.",Supercheap Auto,,,,,
,,,,,,,,Bunnings,,,,,
0,0,0,0,0,0,50,"The webpage could not be reached, and hence a detailed assessment for dark patterns cannot be conducted. No dark patterns are applicable in this scenario.",Big W,,,,,
,,,,,,,,Dan Murphy's,,,,,
,,,,,,,,Liquorland,,,,,
7,4,3,6,5,25,50,"The website employs several dark patterns. The cookie consent notice is clearly biased towards 'Accept all cookies' with more visual prominence and a straightforward option, while 'Cookies settings' is less prominent and requires more effort. Some crucial information about privacy settings is not immediately visible and requires additional action to access.",Aesop,,,,,
5,4,3,4,3,19,50,"The website employs some dark patterns, particularly in the Asymmetric category, as the 'Shop Tower 28' button is prominently displayed, while alternative choices are less highlighted. The Covert and Hides Information categories scored equally, indicating mild use of subtle influences and some information that requires steps to access. Deceptive and Restrictive scores are relatively low, suggesting straightforward information and some freedom in user choices.",Mecca,,,,,
6,4,5,6,3,24,50,"The website shows some use of dark patterns. It is slightly biased in presentation, with notable elements that may subtly influence user decisions. Some important information might be obscured or only available after additional steps. The design, however, is not highly restrictive.",Typo,,,,,
,,,,,,,,Cotton On,,,,,
7,5,6,8,9,35,50,"The website displays several dark patterns, with particularly high scores in Restrictive and Hides Information categories. The access restriction creates a notably asymmetric experience, and the reason for the block is not completely clear and could be misleading or inaccurate.",Jay Jays,,,,,
6,4,5,7,8,30,50,"The website employs a number of dark patterns, with a particularly high score in the Restrictive and Hides Information categories. The presentation is noticeably biased towards user sign-ups, and important information about terms and conditions is somewhat obscured or only accessible through additional steps.",Supre,,,,,
6,7,5,6,5,29,50,"The website shows several dark patterns, particularly in Asymmetric and Covert categories. The promotional elements are noticeably biased, and some information requires additional steps or is presented in a way that subtly influences user choices. While there are moderately restrictive elements, they are not overwhelming.",The Good Guys,,,,,
6,4,5,6,3,24,50,"The website utilizes several mild dark patterns. The presentation is somewhat biased, but not extremely so. Some information is slightly hidden, and there is a slight use of covert techniques. The site imposes mild restrictions on user choices.",Appliances Online,,,,,
,,,,,,,,Autobarn,,,,,
8,6,5,7,7,33,50,"The website exhibits several dark patterns, particularly noticeable in Asymmetric and Covert categories. Choices are presented with significant bias, and important information tends to be hidden or less prominently displayed, influencing user behavior.",Anaconda,,,,,
,,,,,,,,Macpac,,,,,
,,,,,,,,Kathmandu,,,,,
7,5,4,6,6,28,50,"The website employs several dark patterns, with notably high scores in Asymmetric and Hides Information categories. The choices presented, such as cookie consent, are noticeably biased, and important information such as privacy details is somewhat obscured. The site design subtly influences user decisions and limits alternatives.",Mountain Designs,,,,,
,,,,,,,,BCF,,,,,
,,,,,,,,Torpedo7,,,,,
7,5,4,6,3,25,50,"The website employs several dark patterns, with particularly high scores in Asymmetric and Hides Information categories. The presentation is noticeably biased towards promotions, and some information might only be revealed through additional steps, like the exact terms of the $10 offers.",Rivers,,,,,
5,6,4,7,8,30,50,"The website employs several dark patterns, with particularly high scores in Restrictive and Hides Information categories. The presentation is somewhat biased, and crucial information may be hidden or only partially revealed.",Just Jeans,,,,,
3,2,4,3,2,14,50,"The website has minimal use of dark patterns. While there is slight asymmetry in how offers are presented and possible mild deceptive elements due to unclear details on discounts, overall information is relatively accessible and choices are not heavily restricted.",Jeanswest,,,,,
,,,,,,,,Bardot,,,,,
6,4,3,5,2,20,50,"The website has some noticeable biases, particularly in the Asymmetric and Hides Information categories. The presentation of country options is slightly skewed, and some information may not be immediately clear. The restrictive nature is low since the user still has the option to ignore the prompt.",Decjuba,,,,,
,,,,,,,,Cue,,,,,
8,6,4,7,8,33,50,"The website employs several dark patterns, with particularly high scores in Asymmetric and Restrictive categories. The presentation is noticeably biased, and some information is obscured or only revealed after certain actions. User decisions are subtly influenced by covert design elements.",Portmans,,,,,
6,5,3,4,2,20,50,"The website displays a moderate use of dark patterns. The 'OK' button is more prominently displayed than the 'Cancel' button, leading to a somewhat biased visual presentation. Some subtle manipulation is present in guiding the user towards a specific action, but information transparency is relatively maintained, and there are no heavy restrictions on user choices.",Forever New,,,,,
4,2,2,3,1,12,50,"The website shows a low to moderate use of dark patterns. There is some asymmetry in the presentation of promotions, but options are quite visible. Covert, deceptive elements, and hidden information are minimal, and the website offers considerable freedom to users. Important information is generally accessible with only slight delays.",Sussan,,,,,
5,7,6,8,8,34,50,"The website employs several dark patterns in its anomaly detection message. It significantly limits user choices, obscures important information, and subtly uses covert techniques. The presentation is biased, with alternative choices being less prominent. The user experience is notably restrictive and less transparent.",Dotti,,,,,
5,6,2,4,6,23,50,"The website employs a few mild dark patterns. The necessity to verify for continuing shopping imposes some restrictions and may appear asymmetric and covert. While some information is hidden, overall, the page does not seem heavily deceptive.",OshKosh,,,,,
,,,,,,,,Adairs,,,,,
4,2,3,5,2,16,50,"The website shows minimal use of dark patterns. There is a mildly biased presentation in favor of certain options, and some information requires additional steps to access, but overall, the design is fairly straightforward without excessive restrictions or covert influences.",Sheridan,,,,,
,,,,,,,,Bed Bath N' Table,,,,,
,,,,,,,,Freedom,,,,,
5,3,4,7,3,22,50,"The website exhibits some dark patterns, with a notably higher score in the Hides Information category due to the obscuring of certain crucial details. The presentation is mildly biased, but critical information is obscured and revealed later, contributing to the scores in Deceptive and Hides Information categories.",Fantastic Furniture,,,,,
5,4,3,4,2,18,50,"The website employs some dark patterns, particularly mild asymmetry and covert techniques to direct user attention. While the information is not overtly deceptive, certain marketing tactics might cause some confusion. Restrictive behaviors are minimal, providing reasonable flexibility for user choices.",Amart Furniture,,,,,
