website,category_scores/Asymmetric/iteration_1,category_scores/Covert/iteration_1,category_scores/Deceptive/iteration_1,category_scores/Hides Information/iteration_1,category_scores/Restrictive/iteration_1,overall_assessment/total_score/iteration_1,overall_assessment/max_possible_score,overall_assessment/summary/iteration_1,category_scores/Asymmetric/iteration_2,category_scores/Covert/iteration_2,category_scores/Deceptive/iteration_2,category_scores/Hides Information/iteration_2,category_scores/Restrictive/iteration_2,overall_assessment/total_score/iteration_2,overall_assessment/summary/iteration_2,category_scores/Asymmetric/iteration_3,category_scores/Covert/iteration_3,category_scores/Deceptive/iteration_3,category_scores/Hides Information/iteration_3,category_scores/Restrictive/iteration_3,overall_assessment/total_score/iteration_3,overall_assessment/summary/iteration_3
Lenovo,3,2,2,4,2,13,50,The website uses minimal dark patterns. There is a slight emphasis on promoting the business membership with an exclusive offer which could be seen as mildly asymmetric. Some information about the benefits of the membership is not immediately clear which affects the scores for Hides Information and Asymmetric categories.,3,4,4,5,3,19,"The website employs a few dark patterns, though not excessively. Some elements display a slight bias in presentation, and certain pieces of information require additional steps to access. Overall, user decisions are subtly influenced but not heavily restricted or deceived.",3,4,5,4,3,19,"The website displays some tendencies towards dark patterns, particularly in the areas of asymmetric presentation and covert influences. While not overtly deceptive, some promotional information could be more transparent and balanced."
Nike,5,3,4,4,2,18,50,"The website employs some dark patterns, with a noticeable bias in the presentation of choices. There are some elements of subtle influence on user decisions and occasional obscuration of information; however, the site is generally not overly restrictive.",,,,,,,,5,3,3,4,2,17,"The website employs some dark patterns, though they are generally mild. Users might experience a slightly biased product category presentation and some subtle influence on choices, but crucial information and browsing options are fairly accessible."
Adidas,0,0,0,0,0,0,50,"The website could not be reached. Therefore, it is not possible to assess the presence of dark patterns or their categories based on this screenshot. The site may be temporarily down or moved permanently to a new web address.",0,0,0,0,0,0,The website cannot be assessed for dark patterns as it is currently unreachable due to an HTTP2 protocol error. No dark patterns detected.,0,0,0,2,0,2,"The screenshot indicates a site cannot be reached error (ERR_HTTP2_PROTOCOL_ERROR) and does not exhibit any significant dark patterns such as deceptive information, covert influence or restriction on choices. However, there's a minor case of hiding information, as the potential user is not provided with an exact reason for the error or the next steps to resolve it."
Puma,,,,,,,,,,,,,,,,6,4,5,7,6,28,"The website exhibits several dark patterns, particularly in the Asymmetric and Hides Information categories. The presentation is biased towards specific actions, and some information is difficult to find or only provided upon further inspection."
Reebok,,,,,,,,,7,5,4,6,3,25,"The website displays a few dark patterns. The presentation leans towards making the 'Accept All' option for cookies more prominent than the 'Customize' or 'Reject All' options, suggesting an asymmetric pattern. Savings information is detailed but may have partially hidden conditions under 'Exclusions apply,' which indicates an attempt to hide some information. The 'Customize' cookie settings underline a somewhat covert approach to obtaining consent, but not overly deceptive or restrictive. Overall, the website uses mild manipulative techniques but maintains a reasonable degree of transparency.",6,5,3,7,7,28,"The website employs a moderate level of dark patterns, heavily using asymmetric and restrictive techniques. Although the discount offers are clearly presented, exclusion details are hidden, requiring users to make purchases to uncover potential restrictions on the offer."
Under Armour,,,,,,,,,5,3,2,6,4,20,"The website uses some dark patterns in its cookie consent popup, with a notable bias in presentation and some minor elements of hidden information. The overall impact of these patterns is moderate, and more balanced options are available.",7,4,5,6,4,26,"The website exhibits moderate use of dark patterns. The 'Agree and Proceed' option is more prominently displayed compared to 'Reject All', indicating a biased presentation towards data collection consent. Some information is obscured by the need to click for more details, but not entirely hidden. Overall, user choices aren't severely restricted but are subtly influenced towards consenting to cookies."
H&M,,,,,,,,,,,,,,,,0,0,0,0,9,9,"The website presents an 'Access Denied' message, indicating a restriction in access. While this does not employ any obvious dark patterns in most categories, it severely restricts user access, scoring highly in the Restrictive category."
Uniqlo,7,5,4,6,4,26,50,"The website employs several dark patterns, with particularly noticeable issues in Asymmetric and Hides Information categories. The presentation is biased towards encouraging sign-ups for text messages, with some information about data rates and message frequency somewhat obscured.",6,4,5,7,5,27,"The website employs several dark patterns, with higher scores in Asymmetric and Hides Information categories. There is noticeable bias in the presentation, and some important information regarding messages and terms is somewhat obscured.",,,,,,,
Zara,,,,,,,,,5,4,3,8,9,29,"The website shows restricted access, preventing users from viewing content. Important information may be hidden behind this access restriction. While not highly deceptive, the restrictive nature of access is significant, and design elements could influence user interaction subtly.",0,0,0,10,10,20,"The assessment of this page shows it does not present typical dark patterns as described. However, the notable restriction is evident with access explicitly denied to the user. This prevents any interaction with the content and information on the site, leading to high scores in the 'Restrictive' and 'Hides Information' categories."
Forever 21,,,,,,,,,7,5,4,6,8,30,"The website employs several dark patterns, particularly in being restrictive and asymmetric in user choices. The presentation favors signing up for emails with a visible pop-up that overshadows the rest of the content, and important information about cookies is somewhat concealed. While the practices are not entirely deceptive, the overall design notably influences user decisions towards specific actions.",8,7,6,7,5,33,"The website employs multiple dark patterns, with particularly noticeable biases in the presentation of choices, covert influences to encourage sign-up or acceptance, and some information masked or delayed for later stages."
Urban Outfitters,,,,,,,,,,,,,,,,4,3,2,1,6,16,"The website employs some dark patterns, with particularly high scores in the Asymmetric and Restrictive categories. The presentation is mildly biased, and there are some restrictions, though information hiding and deceptive elements are minimal."
Hollister,5,3,5,6,4,23,50,"The website uses some dark patterns, mostly in the Hides Information and Asymmetric categories. While the design is relatively balanced, certain deals and sale details are not completely transparent, and some crucial information is somewhat obscured.",5,4,4,6,7,26,"The website has a moderate use of dark patterns. Notably, it slightly biases towards promoting sales and discounts with prominent buttons leading to sale items. The use of phrases like 'Limited Time!' pressures users, and important conditions like qualifying styles for discounts are not immediately visible, moderately restricting user choices.",,,,,,,
Abercrombie & Fitch,,,,,,,,,,,,,,,,,,,,,,
Lululemon,0,0,0,0,0,0,50,"The webpage provided is not accessible due to an ERR_HTTP2_PROTOCOL_ERROR, indicating it might be down or moved permanently. Since the website content cannot be displayed or evaluated, no dark patterns can be assessed from this unavailable webpage.",0,0,0,0,0,0,The website is currently unreachable due to an HTTP2 protocol error. No dark patterns can be assessed in this situation as the website's content is not displayed.,,,,,,,
Victoria's Secret,,,,,,,,,,,,,,,,7,4,3,6,5,25,"The website employs several dark patterns, with particularly high scores in Asymmetric and Hides Information categories. The presentation is noticeably biased in favor of certain choices, and important information is somewhat obscured. While there is some subtle influence on user decisions, the manipulation is not overly heavy-handed."
Sephora,,,,,,,,,,,,,,,,0,0,0,0,0,0,"The website is currently experiencing technical difficulties and the error message does not exhibit any dark patterns. The information provided is clear, straightforward, and does not attempt to manipulate or mislead the user."
Ulta,6,4,5,7,7,29,50,"The website exhibits several dark patterns, particularly in the Asymmetric and Hides Information categories. The user experience is biased towards certain actions that benefit the website, with notable restrictions and a tendency to obscure or delay important information.",6,5,3,6,7,27,"The website has several dark patterns, especially in the asymmetric and restrictive categories. The choices presented to users are noticeably biased and significant information about data sharing is not immediately transparent.",,,,,,,
Glossier,6,4,5,7,8,30,50,"The website employs a number of dark patterns. It is particularly notable for using an asymmetric design that highlights specific actions, covert techniques to influence choices subtly, and restrictive measures that limit user options. Information is present but often obscured or not immediately clear.",6,5,4,7,5,27,"The website displays several dark patterns, particularly in the Asymmetric and Hides Information categories. The presentation is notably biased towards a specific purchasing option, and some information is obscured or requires additional steps to access.",7,6,5,4,3,25,"The website uses several dark patterns, primarily around Asymmetric and Covert categories. The presentation favors certain choices over others, and subtle design elements influence user decisions. There is some misleading information, but crucial information isn't entirely hidden. Restrictions on choices are present but not overwhelming."
Fenty Beauty,7,5,4,6,6,28,50,"The website employs several dark patterns, most notably in the Asymmetric and Hides Information categories. The accept all cookies button is more visually prominent, subtly encouraging users to accept all cookies. Information about optional tracking technologies is provided but placed in a way that makes it less noticeable. The user's ability to freely choose cookie settings is somewhat restricted.",7,5,3,6,4,25,"The website exhibits several dark patterns. The presentation is noticeably biased, with a preference for accepting cookies more prominent than rejecting. Some information on tracking technologies is only available after additional steps. Covert techniques subtly influence choices but are not entirely deceptive.",6,4,3,7,5,25,"The website presents some dark patterns, mainly in the categories of Hides Information and Asymmetric. The information on cookies is somewhat hidden under less prominent buttons, and the 'Accept All Cookies' option is more conspicuous than others. The website employs some covert design elements, such as making the 'Accept All Cookies' button more appealing, although information is relatively straightforward."
ColourPop,,,,,,,,,,,,,,,,,,,,,,
Pat McGrath,5,4,3,6,6,24,50,"The website displays some dark patterns, with the most noticeable being in the Hides Information and Restrictive categories. The options provided are somewhat biased towards continuing with the set location, and some important information or options (like changing the country or opting out of promotional emails) are less prominent.",,,,,,,,5,3,4,5,3,20,"The website employs some subtle dark patterns, such as asymmetrical design to encourage certain actions, slight influence on user decisions, and partial information hiding. However, it is not extremely restrictive or deceptive."
Charlotte Tilbury,6,4,5,7,5,27,50,"The website displays a moderate use of dark patterns. The presentation is somewhat biased towards specific actions, and important information is occasionally obscured or delayed. While there are limitations on user choices, there are still some alternatives available.",6,5,3,6,7,27,"The website exhibits several dark patterns, with particularly high scores in Asymmetric and Restrictive categories. The presentation is biased, with the 'Accept' button for cookies given more prominence than 'Reject' or 'Customise'. Important information on cookies is present but not very prominently displayed.",7,5,4,6,7,29,"The website demonstrates a variety of dark patterns, particularly with an emphasis on asymmetric design and restrictive choices. The cookie consent options highlight an asymmetric presentation favoring 'ACCEPT.' Some essential information is partially hidden or requires extra steps to access. The overall tactics subtly guide users towards specific actions, potentially limiting user freedom and clarity."
Too Faced,0,0,0,0,0,0,50,The website cannot be reached due to an HTTP2 protocol error or the site being temporarily down or moved. No dark patterns can be assessed from the error page.,0,0,0,0,0,0,"The website could not be reached due to a protocol error, so no dark patterns were detected. Without access to the actual content of the website, it's not possible to assess or categorize any design choices or their potential to employ dark patterns.",0,0,0,0,0,0,"The website is currently unreachable due to a protocol error. As such, no dark patterns can be assessed or analyzed at this time."
Anastasia Beverly Hills,7,6,5,7,4,29,50,"The website employs several dark patterns, with particularly high scores in Asymmetric and Hides Information categories. There is noticeable bias in presentation, important information is often obscured, and user decisions may be subtly manipulated.",,,,,,,,7,5,4,6,6,28,"The website exhibits several dark patterns. The options are somewhat asymmetrically presented, with more prominence given to signing up and accepting cookies. The use of pop-ups and subtle influence techniques are noticeable but not overly deceptive. Some important information, especially regarding cookies, is not immediately visible and requires additional action to access. The design restricts the user from easily declining the sign-up and cookie acceptance."
Morphe,,,,,,,,,,,,,,,,6,4,5,7,7,29,"The website utilizes several dark patterns. The presentation is somewhat asymmetric, favoring 'Accept Cookies' prominently over 'Manage My Preferences'. The information about disabling cookies is somewhat hidden under the 'Cookie Policy' link. There is some use of covert and deceptive design elements regarding user consent. The restrictive options push users towards accepting cookies."
The Body Shop,,,,,,,,,,,,,,,,6,5,4,7,4,26,"The website shows several dark patterns, notably asymmetric presentation and hiding information. The cookie consent dialogue favors 'Accept All Cookies' prominently over other options, subtly influencing user consent."
L'Occitane,5,3,2,4,6,20,50,The website employs some dark patterns. The presentation leans towards being biased with slight preference given to the 'Ship to Canada' option. Information is somewhat obscured as other location choices are available but not immediately visible. Restrictions are in place as users are nudged towards a specific country for shipping.,6,4,3,3,7,23,"The website has a noticeably biased presentation with a prominent default option to 'Ship to Canada,' making it less intuitive for users to choose an alternative location. This results in high scores in the Asymmetric and Restrictive categories. There is some subtle influence in user choices, but less evident use of deceptive tactics or hidden information.",5,3,2,4,3,17,"The website presents some dark patterns, particularly in the Asymmetric category, where the 'Ship to Canada' option is more prominent, possibly leading the user to continue with the default rather than exploring other options. However, the overall impact is moderate as the necessary information and alternative choices are still available."
Birchbox,6,5,4,7,6,28,50,"The website exhibits several dark patterns. The presentation of choices is noticeably biased towards building a custom box, with alternative options less prominent. There are some covert techniques employed to subtly influence user decisions. While the information isn't entirely deceptive, important details about the subscription model and customization are not immediately clear, implying some information is obscured. The options available also appear somewhat restrictive, funnelling users towards a particular action.",7,4,3,6,5,25,"The website exhibits various dark patterns, primarily focusing on asymmetric presentation and hiding information. Although not overly restrictive or covert, the design's bias towards specific user actions and the way some information is delayed or obscured are areas of concern.",6,3,4,5,7,25,"The website demonstrates the use of dark patterns, particularly in Asymmetric and Restrictive categories. There is significant emphasis on building a customized box, which might overshadow alternative options. While not overt, some important details and alternate actions are not immediately highlighted."
Amazon India,4,3,5,4,2,18,50,"The website uses mild dark patterns, with a slightly biased presentation in the Asymmetric category. Some design elements subtly influence user choices, though most information is clear and accessible. User choice is generally unrestricted.",,,,,,,,,,,,,,
Amazon UK,,,,,,,,,,,,,,,,,,,,,,
Amazon Germany,,,,,,,,,,,,,,,,6,4,3,5,3,21,"The website implements some dark patterns, particularly in the Asymmetric and Hides Information categories. The ""Accept"" button is more visually prominent compared to the ""Decline"" and ""Customise"" buttons, possibly guiding users towards accepting cookies more easily. Additionally, there is some minor information delay and additional steps required to access complete details, but the site does offer routes to customize or reject cookies."
Amazon Japan,3,2,1,1,2,9,50,"The website employs minimal dark patterns. There is slight asymmetry in the presentation of shipping options and a subtle influence on user choice, but overall, information is clear, and user options are relatively unrestricted.",,,,,,,,6,4,3,5,5,23,"The website shows a moderate use of dark patterns, with a somewhat biased presentation favoring specific actions. Some information is hidden or requires additional steps to access, though there are limited restrictions and deceptive elements."
Lazada,,,,,,,,,,,,,,,,,,,,,,
Shopee,,,,,,,,,3,2,2,3,2,12,"The website has minimal dark patterns. There is a mild bias in presentation, slight elements of hidden influences, slightly obscured information, and minimal restrictions on user choices.",,,,,,,
Tokopedia,0,0,0,0,0,0,50,"The website could not be reached, and therefore no dark patterns could be detected or assessed.",0,0,0,0,0,0,The website is currently unreachable due to an error (ERR_HTTP2_PROTOCOL_ERROR). No dark patterns were detected as the website content is not accessible at this time.,0,0,0,0,0,0,The website is not accessible (ERR_HTTP2_PROTOCOL_ERROR). There are no signs of dark patterns in the current state since the webpage cannot be reached.
Bukalapak,6,5,7,6,3,27,50,"The website displays several dark patterns with notable emphasis on deceptive and asymmetric practices. While user choices are somewhat biased and important information is not always immediately clear, the site is moderately restrictive in its user options.",7,5,6,7,6,31,"The website employs several dark patterns, particularly focusing on asymmetric design and hiding information. Certain options are less prominent, while key information like promotional details may require additional steps to uncover. Restrictive choices also limit user freedom to an extent.",,,,,,,
Blibli,2,1,2,1,2,8,50,"The website does not heavily employ dark patterns. The verification process is straightforward, information is transparent, and user choices are not unduly restricted or biased.",,,,,,,,0,1,0,1,3,5,"The verification page on the website shows minimal dark patterns. There is very little asymmetry in the design, and no deceptive information present. Important information is generally clear, though there is a minor delay in accessing the main site due to the verification process. The page's actions are somewhat restrictive as users must complete verification before proceeding."
Snapdeal,7,6,4,7,3,27,50,"The website displays several dark patterns, with notable scores in Asymmetric and Hides Information categories. The choice to allow notifications is presented with a more prominent 'Allow' button compared to the 'Not Now' option. Some information is subtly obscured, but overall the site's dark patterns are moderate.",5,4,3,7,3,22,"The website uses several dark patterns, with the most prominent being its information-hiding practices. The presentation does exhibit some bias, particularly in the notification prompt. There are mild covert techniques but they are not entirely deceptive. Overall restriction on user choices is minimal.",,,,,,,
Myntra,0,0,0,0,0,0,50,"The webpage could not be reached due to a protocol error, indicating that it might be temporarily down or may have permanently moved to a new web address. Hence, no dark patterns were detected.",0,0,0,0,0,0,"The website is currently not accessible due to an error (ERR_HTTP2_PROTOCOL_ERROR). As such, no dark patterns can be evaluated at this time.",0,0,0,0,0,0,"The website is currently unreachable, which prevents any analysis of dark patterns. No elements indicating dark patterns can be assessed in this state."
